rank,salary,lsalary,GPA,age,LSAT,libvol,faculty,cost
70,36000.0,10.491274,3.2,,158.0,409.0,63.0,15500.0
68,35000.0,10.463103,3.3,,156.0,400.0,59.0,13520.0
151,29700.0,10.2989025,3.0,58.0,154.0,268.0,69.0,
52,41000.0,10.621327,3.25,31.0,160.0,320.0,114.0,16480.0
56,39000.0,10.571317,3.17,73.0,159.0,245.0,91.0,15800.0
61,38750.0,10.564886,3.32,73.0,159.0,210.0,53.0,15540.0
87,34700.0,10.454495,3.16,34.0,155.0,316.0,148.0,15870.0
118,30000.0,10.308952,3.2,118.0,157.0,326.0,69.0,10546.0
153,29650.0,10.297217,3.24,84.0,156.0,156.0,18.0,6910.0
168,29500.0,10.292146,3.0,62.0,155.0,290.0,89.0,12600.0
26,52000.0,10.858999,3.5,78.0,164.0,330.0,48.0,17430.0
106,30050.0,10.310618,3.3,,156.0,302.0,33.0,9186.0
42,39000.0,10.571317,3.18,62.0,159.0,440.0,41.0,17372.0
75,34900.0,10.460242,3.15,74.0,157.0,340.0,78.0,16240.0
6,63000.0,11.05089,3.78,92.0,167.0,414.0,52.0,18186.0
146,30000.0,10.308952,,85.0,,316.0,83.0,16585.0
108,29000.0,10.275051,3.3,79.0,158.0,300.0,130.0,14340.0
51,41000.0,10.621327,3.2,90.0,155.0,319.0,75.0,17348.0
45,41150.0,10.624979,3.3,90.0,157.0,439.0,190.0,13300.0
117,29499.0,10.292111,,95.0,,345.0,,7716.0
12,59500.0,10.9937315,3.5,78.0,163.0,850.0,,8640.0
170,27000.0,10.203592,2.73,38.0,145.0,300.0,45.0,
101,35500.0,10.477288,3.1,79.0,157.0,260.0,58.0,4388.0
121,29799.0,10.30223,,13.0,149.0,305.0,51.0,
154,29600.0,10.295529,3.1,79.0,157.0,260.0,58.0,10280.0
174,25000.0,10.126631,2.8,,152.0,310.0,65.0,14470.0
100,36000.0,10.491274,3.0,,155.0,260.0,56.0,8715.0
29,49000.0,10.799576,3.55,,161.0,264.0,55.0,8529.0
69,35000.0,10.463103,3.3,196.0,155.0,215.0,42.0,13710.0
16,57000.0,10.950807,3.62,112.0,164.0,329.0,75.0,17750.0
152,29669.0,10.297858,3.2,,159.0,175.0,53.0,15114.0
63,37000.0,10.518673,3.41,32.0,160.0,420.0,74.0,15620.0
15,64000.0,11.066638,3.6,160.0,164.0,700.0,107.0,15678.0
111,29700.0,10.2989025,3.31,91.0,162.0,250.0,67.0,14200.0
102,35000.0,10.463103,3.27,82.0,154.0,251.0,59.0,7000.0
25,49000.0,10.799576,3.63,86.0,163.0,450.0,69.0,10000.0
16,51490.0,10.849143,3.47,136.0,163.0,297.0,48.0,13600.0
41,41500.0,10.633449,3.2,118.0,160.0,476.0,86.0,17750.0
67,35000.0,10.463103,3.35,58.0,158.0,415.0,66.0,6700.0
135,27900.0,10.236382,3.08,,153.0,301.0,59.0,11775.0
156,29630.0,10.296542,3.0,10.0,155.0,230.0,40.0,15960.0
138,29750.0,10.300585,3.1,,154.0,481.0,206.0,14200.0
66,36000.0,10.491274,3.2,102.0,157.0,244.0,39.0,12800.0
17,49321.0,10.806106,3.34,206.0,162.0,300.0,50.0,13530.0
21,49900.0,10.817777,3.4,,161.0,,47.0,11334.0
143,31500.0,10.357743,3.4,65.0,157.0,174.0,17.0,7396.0
3,69000.0,11.141862,3.82,140.0,171.0,850.0,100.0,19780.0
120,29800.0,10.302263,,,,200.0,35.0,12870.0
